Date : 2025-12-22 23:49:52
Directory : c:\Users\HP\Desktop\doxa-intelligent-ticketing
Total : 116 files,  9394 codes, 174 comments, 1136 blanks, all 10704 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |      3,317 |          0 |          2 |      3,319 |
| TypeScript JSX     |         29 |      3,022 |         66 |        248 |      3,336 |
| Python             |         48 |      1,365 |         84 |        365 |      1,814 |
| Markdown           |         14 |      1,239 |          0 |        431 |      1,670 |
| TypeScript         |          8 |        250 |         17 |         52 |        319 |
| YAML               |          1 |         36 |          0 |          5 |         41 |
| PostCSS            |          1 |         36 |          3 |          5 |         44 |
| pip requirements   |          1 |         34 |          0 |          1 |         35 |
| JSON with Comments |          1 |         25 |          0 |          1 |         26 |
| Docker             |          3 |         21 |          4 |         15 |         40 |
| JavaScript         |          2 |         16 |          0 |          2 |         18 |
| Properties         |          1 |         15 |          0 |          3 |         18 |
| HTML               |          1 |         13 |          0 |          3 |         16 |
| Dotenv             |          2 |          5 |          0 |          2 |          7 |
| toml               |          1 |          0 |          0 |          1 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        116 |      9,394 |        174 |      1,136 |     10,704 |
| . (Files)                                                                                           |          4 |         60 |          0 |         21 |         81 |
| ai                                                                                                  |         11 |          0 |          0 |         11 |         11 |
| ai (Files)                                                                                          |          2 |          0 |          0 |          2 |          2 |
| ai\app                                                                                              |          9 |          0 |          0 |          9 |          9 |
| ai\app (Files)                                                                                      |          1 |          0 |          0 |          1 |          1 |
| ai\app\clients                                                                                      |          1 |          0 |          0 |          1 |          1 |
| ai\app\pipeline                                                                                     |          4 |          0 |          0 |          4 |          4 |
| ai\app\rag                                                                                          |          2 |          0 |          0 |          2 |          2 |
| ai\app\schemas                                                                                      |          1 |          0 |          0 |          1 |          1 |
| backend                                                                                             |         46 |      1,662 |         86 |        467 |      2,215 |
| backend (Files)                                                                                     |          9 |        389 |          4 |        129 |        522 |
| backend\alembic                                                                                     |          2 |        222 |         28 |         34 |        284 |
| backend\alembic (Files)                                                                             |          1 |         36 |          2 |         18 |         56 |
| backend\alembic\versions                                                                            |          1 |        186 |         26 |         16 |        228 |
| backend\app                                                                                         |         35 |      1,051 |         54 |        304 |      1,409 |
| backend\app (Files)                                                                                 |          1 |         18 |          2 |          7 |         27 |
| backend\app\api                                                                                     |          7 |        254 |         11 |         56 |        321 |
| backend\app\api\v1                                                                                  |          7 |        254 |         11 |         56 |        321 |
| backend\app\core                                                                                    |          3 |         93 |          1 |         32 |        126 |
| backend\app\db                                                                                      |          3 |          7 |          0 |          6 |         13 |
| backend\app\models                                                                                  |          6 |        140 |          1 |         41 |        182 |
| backend\app\schemas                                                                                 |          7 |        131 |          0 |         72 |        203 |
| backend\app\services                                                                                |          6 |        408 |         39 |         88 |        535 |
| backend\app\utils                                                                                   |          2 |          0 |          0 |          2 |          2 |
| docs                                                                                                |          7 |        967 |          0 |        312 |      1,279 |
| frontend                                                                                            |         48 |      6,705 |         88 |        325 |      7,118 |
| frontend (Files)                                                                                    |         11 |      3,411 |          2 |         22 |      3,435 |
| frontend\src                                                                                        |         37 |      3,294 |         86 |        303 |      3,683 |
| frontend\src (Files)                                                                                |          3 |        204 |         18 |         26 |        248 |
| frontend\src\api                                                                                    |          5 |        143 |         17 |         33 |        193 |
| frontend\src\components                                                                             |          7 |        239 |          0 |         31 |        270 |
| frontend\src\config                                                                                 |          1 |         30 |          0 |          7 |         37 |
| frontend\src\context                                                                                |          1 |         54 |          0 |          9 |         63 |
| frontend\src\pages                                                                                  |         19 |      2,561 |         51 |        187 |      2,799 |
| frontend\src\pages (Files)                                                                          |          4 |          0 |          0 |          4 |          4 |
| frontend\src\pages\admin                                                                            |          5 |        730 |         11 |         63 |        804 |
| frontend\src\pages\agent                                                                            |          3 |        586 |         13 |         41 |        640 |
| frontend\src\pages\auth                                                                             |          3 |        257 |          1 |         21 |        279 |
| frontend\src\pages\client                                                                           |          3 |        473 |         10 |         34 |        517 |
| frontend\src\pages\public                                                                           |          1 |        515 |         16 |         24 |        555 |
| frontend\src\types                                                                                  |          1 |         63 |          0 |         10 |         73 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                            | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\.env                                                 | Dotenv             |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\README.md                                            | Markdown           |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\RUN_INSTRUCTIONS.md                                  | Markdown           |         24 |          0 |         14 |         38 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\Dockerfile                                        | Docker             |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\README.md                                         | Markdown           |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\clients\backend_client.py                     | Python             |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\main.py                                       | Python             |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\pipeline\evaluator.py                         | Python             |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\pipeline\query_analyzer.py                    | Python             |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\pipeline\response_composer.py                 | Python             |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\pipeline\solution_finder.py                   | Python             |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\rag\retriever.py                              | Python             |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\rag\vector_store.py                           | Python             |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\ai\app\schemas\ai_contracts.py                       | Python             |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\.env                                         | Dotenv             |          5 |          0 |          1 |          6 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\DOXA_Backend_TODO_Checklist.md               | Markdown           |        132 |          0 |         48 |        180 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\DOXA_Backend_Tech_Stack_Solution1.md         | Markdown           |        116 |          0 |         53 |        169 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\Dockerfile                                   | Docker             |         10 |          2 |          6 |         18 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\README.md                                    | Markdown           |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\alembic\env.py                               | Python             |         36 |          2 |         18 |         56 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\alembic\versions\001_initial_migration.py    | Python             |        186 |         26 |         16 |        228 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\ai.py                             | Python             |         13 |          2 |          4 |         19 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\api.py                            | Python             |          8 |          0 |          2 |         10 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\auth.py                           | Python             |         54 |          9 |         12 |         75 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\kb.py                             | Python             |         61 |          0 |         12 |         73 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\metrics.py                        | Python             |         13 |          0 |          4 |         17 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\tickets.py                        | Python             |        105 |          0 |         21 |        126 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\api\v1\users.py                          | Python             |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\core\config.py                           | Python             |         14 |          0 |          7 |         21 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\core\deps.py                             | Python             |         62 |          1 |         15 |         78 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\core\security.py                         | Python             |         17 |          0 |         10 |         27 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\db\base.py                               | Python             |          2 |          0 |          2 |          4 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\db\init_db.py                            | Python             |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\db\session.py                            | Python             |          5 |          0 |          3 |          8 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\main.py                                  | Python             |         18 |          2 |          7 |         27 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\models\__init__.py                       | Python             |          5 |          0 |          1 |          6 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\models\feedback.py                       | Python             |         14 |          0 |          4 |         18 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\models\kb.py                             | Python             |         39 |          0 |         14 |         53 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\models\ticket.py                         | Python             |         47 |          1 |         10 |         58 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\models\ticket_response.py                | Python             |         17 |          0 |          6 |         23 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\models\user.py                           | Python             |         18 |          0 |          6 |         24 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\schemas\ai.py                            | Python             |         10 |          0 |          5 |         15 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\schemas\auth.py                          | Python             |         14 |          0 |          9 |         23 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\schemas\feedback.py                      | Python             |         14 |          0 |          8 |         22 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\schemas\kb.py                            | Python             |         29 |          0 |         16 |         45 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\schemas\metrics.py                       | Python             |          8 |          0 |          3 |         11 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\schemas\ticket.py                        | Python             |         33 |          0 |         17 |         50 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\schemas\user.py                          | Python             |         23 |          0 |         14 |         37 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\services\ai_service.py                   | Python             |         25 |          7 |          8 |         40 |
| c:\Users\HP\Desktop\doxa-intelligent-ticketing\backend\app\services\auth_service.py                 | Python             |          0 |          0 |          1 |          1 |
